,title,date,url
53,SW중심대학사업단 2022년 인성직무적격성(인적성) 검사 프로그램 참여 학생 모집 안내,22.05.25,https://sw7up.cbnu.ac.kr/community/notice/628ddd5e7754e025231c023b
54,"(홍보) 2022 IITP 파트너즈 모집 안내 (모집기간: ~'22.5.23(월)~6.7(수), 18시 / 이메일 접수)",22.05.26,https://sw7up.cbnu.ac.kr/community/notice/628ed1a77754e025231c4ed8
55,(홍보)[정보통신기획평가원] AI World 2022 (Tech &amp; Future) 행사 개최,22.05.26,https://sw7up.cbnu.ac.kr/community/notice/628ed23c7754e025231c4ee8
56,(홍보) 2022 소중대 공동 AI 경진대회 개최 안내 및 홍보요청 (참가접수 : 6/13(월)~7/22(금)까지),22.05.26,https://sw7up.cbnu.ac.kr/community/notice/628ed2d47754e025231c4f50
57,2022년 하계 계절학기 현장실습(인턴십) 수요조사 참여 안내,22.05.27,https://sw7up.cbnu.ac.kr/community/notice/629068c97754e025231cb279
58,2022년 1차 Solve-up 프로그래밍 경진대회 시상자 안내,22.05.30,https://sw7up.cbnu.ac.kr/community/notice/629423107754e025231d4535
59,2022학년도 1학기 SW융합전공 장학생 선발 결과 안내,22.05.30,https://sw7up.cbnu.ac.kr/community/notice/62946dbc7754e025231d6d84
60,(홍보) 2022 메타버스 개발자 경진대회 (참가신청: ~'22.5.31(화)~6.28(화) / 온라인 접수),22.05.31,https://sw7up.cbnu.ac.kr/community/notice/6295c7247754e025231e01d9
61,2022학년도 1학기 SW융합전공 TA  추가 모집(~6/3),22.06.02,https://sw7up.cbnu.ac.kr/community/notice/62981dd17754e025231e5a72
62,2022년 하계 계절학기 현장실습(인턴십) 참여신청서 제출 안내,22.06.02,https://sw7up.cbnu.ac.kr/community/notice/62984e3b7754e025231e6da9
63,2022학년도 1학기 마일리지 장학금 제출 안내(필독★),22.06.02,https://sw7up.cbnu.ac.kr/community/notice/629857d67754e025231e7397
64,(홍보) 한국SW산업협회 기업멤버심 SW캠프 - 채용확정형 교육생 모집 안내 (온라인 신청),22.06.07,https://sw7up.cbnu.ac.kr/community/notice/629e9c24284b4907df0fc6a5
65,(홍보)2022 온라인 홍보 콘텐츠 'SW인재열전' 신청 접수 안내 (~6/13(월)까지),22.06.07,https://sw7up.cbnu.ac.kr/community/notice/629e9c63284b4907df0fc6b5
66,2022년 제1회 충청북도 대학생 프로그래밍 경진대회,22.06.09,https://sw7up.cbnu.ac.kr/community/notice/62a154ed284b4907df1050a5
67,2022 미국 실리콘밸리 SW교육프로그램 참가 신청 접수 안내 (~6/21),22.06.15,https://sw7up.cbnu.ac.kr/community/notice/62a95e8e284b4907df115a67
68,"(홍보) Samsung Open Source Companions 3기 모집안내 (접수기간 : 22.06.15(수)~07.03(일), 이메일 접수)",22.06.16,https://sw7up.cbnu.ac.kr/community/notice/62aa868c284b4907df11c696
69,2022년 AI 시나리오 공모전 수상자 안내,22.06.20,https://sw7up.cbnu.ac.kr/community/notice/62b0252f0adc1743d3f51996
70,"SW중심대학사업단 2022년 제 2차 SW융합전공 재학생 간담회 개최(7/4,5,6)",22.06.21,https://sw7up.cbnu.ac.kr/community/notice/62b14f4f0adc1743d3f5705f
71,2022 미국 실리콘밸리 SW교육프로그램 합격자 안내,22.06.22,https://sw7up.cbnu.ac.kr/community/notice/62b2e7580adc1743d3f5d4ab
72,(홍보) IITP Tech &amp; Future Insight Concert - AI반도체 행사 안내,22.06.27,https://sw7up.cbnu.ac.kr/community/notice/62b8f3040adc1743d3f66b2d
73,[행사홍보] 2022년 충청권 지역 SW품질역량강화사업 (SW테스트 전문가 양성 교육(ISTQB-FL),22.06.28,https://sw7up.cbnu.ac.kr/community/notice/62bab9ab0adc1743d3f6b95d
74,2022학년도 2학기 SW융합전공 신청안내(7/1~7/14),22.06.29,https://sw7up.cbnu.ac.kr/community/notice/62bbfa51819bee6a011cad5f
75,2022년 SW융합전공 체험수기 공모전 모집 공고(모집기한 연장: ~9/16),22.06.30,https://sw7up.cbnu.ac.kr/community/notice/62bcea9a819bee6a011ccb8c
76,2022년 SW중심대학사업단 AI 챗봇 교육 프로그램 모집 공고,22.06.30,https://sw7up.cbnu.ac.kr/community/notice/62bd0bbe819bee6a011cd18c
77,2022학년도 1학기 「마일리지 장학금」 장학생 결과 안내(7/11 이후) 예정,22.07.01,https://sw7up.cbnu.ac.kr/community/notice/62be9e17819bee6a011d0ab6
78,2022년도 하반기 ICT학점연계 프로젝트 인턴십 참여학생 모집 안내,22.07.04,https://sw7up.cbnu.ac.kr/community/notice/62c25d14819bee6a011d6d8e
79,2022년 산학협력공동프로젝트 연구보조원 추가 모집,22.07.04,https://sw7up.cbnu.ac.kr/community/notice/62c277fb819bee6a011d7fe5
80,(홍보)2022 공개SW 개발자대회 (참가신청 : 22.07.04(월) ~ 08.03(수) / 온라인 접수),22.07.06,https://sw7up.cbnu.ac.kr/community/notice/62c4d0ce819bee6a011dde04
81,2022년 2학기 Catch-UpⓇ 프로그램(파이썬 기초 특강) 수강생 모집 안내 (강의내용 업데이트),22.07.07,https://sw7up.cbnu.ac.kr/community/notice/62c698e6819bee6a011e216d
82,2022년 제 2차 SW융합전공 재학생 간담회 자료 공유,22.07.08,https://sw7up.cbnu.ac.kr/community/notice/62c77cb2819bee6a011e38ad
83,2022년 SW개발능력향상프로그램 참가 신청 안내,22.07.11,https://sw7up.cbnu.ac.kr/community/notice/62cb8124819bee6a011ea15b
84,2022학년도 1학기 「마일리지 장학금」 장학생 결과 안내,22.07.12,https://sw7up.cbnu.ac.kr/community/notice/62ccb7b8819bee6a011f133c
85,2022년 Online 한중일 대학생 캠프(SP!ED) 참가자 모집 공고(~7/22),22.07.12,https://sw7up.cbnu.ac.kr/community/notice/62cccd71819bee6a011f2818
86,[행사홍보] 2022년 충청권 SW테스트 경진대회 참가자 모집 공고,22.07.18,https://sw7up.cbnu.ac.kr/community/notice/62d51276f952f940ce604e35
87,2022년 산학협력공동프로젝트 연구보조원 추가모집 공고(~7/27),22.07.25,https://sw7up.cbnu.ac.kr/community/notice/62ddeb7df952f940ce612dba
88,2022년 2학기 Catch-UpⓇ 프로그램(C 프로그래밍 특강) 수강생 모집 안내(~8/11),22.07.26,https://sw7up.cbnu.ac.kr/community/notice/62df9576f952f940ce617e1c
89,2022년 2학기 Catch-UpⓇ 프로그램(C 프로그래밍 특강) 실습 조교 모집 안내(~8/5),22.07.26,https://sw7up.cbnu.ac.kr/community/notice/62df9721f952f940ce617e7a
90,2022년 2학기 학부생 튜터 모집 안내(~8/5),22.07.26,https://sw7up.cbnu.ac.kr/community/notice/62df9abef952f940ce6180a8
91,2022년 Online 한중일 대학생 캠프(SP!ED) 합격자 안내,22.07.27,https://sw7up.cbnu.ac.kr/community/notice/62e09f39f952f940ce61b972
92,2022년 2학기 Catch-UpⓇ 프로그램(파이썬 기초 특강) 수강생 선발 안내,22.07.27,https://sw7up.cbnu.ac.kr/community/notice/62e0a9bef952f940ce61beca
93,2022학년도 2학기 SW중심대학사업단 EASY 코스 교과목 안내,22.07.27,https://sw7up.cbnu.ac.kr/community/notice/62e0ede1f952f940ce61e433
94,2022년 2학기 학기제 현장실습(인턴십) 프로그램/실습기관:중고나라(~8/10),22.07.28,https://sw7up.cbnu.ac.kr/community/notice/62e226aaf952f940ce621b71
95,[행사홍보] 2022 Woori 코딩 페스티벌 안내,22.07.29,https://sw7up.cbnu.ac.kr/community/notice/62e33498f952f940ce624732
96,2022년 충북 오픈소스SW 커뮤니티 프로그램 참가 신청 안내(~8/12),22.08.01,https://sw7up.cbnu.ac.kr/community/notice/62e76204f952f940ce62a21d
97,2022년 2학기 학기제 현장실습(인턴십) 프로그램/실습기관:SK쉴더스(~8/7),22.08.03,https://sw7up.cbnu.ac.kr/community/notice/62ea29edf952f940ce6314bc
98,[행사홍보] 제9회 대한민국 SW융합 해커톤 대회 참가팀 모집 안내,22.08.03,https://sw7up.cbnu.ac.kr/community/notice/62ea2f1df952f940ce631a92
99,(홍보) 2022 인공지능 대학원 심포지엄 행사 안내,22.08.05,https://sw7up.cbnu.ac.kr/community/notice/62ec7e1ef952f940ce637479
100,2022년 2학기 Catch-UpⓇ 프로그램(C 프로그래밍) 실습조교 합격자 안내,22.08.09,https://sw7up.cbnu.ac.kr/community/notice/62f1ed3af952f940ce640d88
101,2022년 2학기 학부생튜터링 튜티 모집 안내(~8/17),22.08.09,https://sw7up.cbnu.ac.kr/community/notice/62f24651f952f940ce6428af
102,2022년 2학기 학부생튜터 1차 선발자 안내,22.08.10,https://sw7up.cbnu.ac.kr/community/notice/62f2ff22f952f940ce643643
103,2022년 2학기 SW중심대학사업단 학부생 TA 모집 공고,22.08.11,https://sw7up.cbnu.ac.kr/community/notice/62f4ac27f952f940ce64886c
104,2022년 2학기 SW중심대학사업단 대학원생 TA 모집 공고,22.08.11,https://sw7up.cbnu.ac.kr/community/notice/62f4bd96f952f940ce649127
105,2022년 2학기 Catch-UpⓇ 프로그램(C프로그래밍) 수강생 선발 안내,22.08.11,https://sw7up.cbnu.ac.kr/community/notice/62f4d343f952f940ce649821
106,2022년 2학기 학부생 TA 추가 모집 공고(~8/24),22.08.18,https://sw7up.cbnu.ac.kr/community/notice/62fda183f952f940ce657a14
107,2022학년도 2학기 SW융합전공 TA 모집(~8/23),22.08.19,https://sw7up.cbnu.ac.kr/community/notice/62fed8c3f952f940ce65b2e3
108,2022년 2학기 대학원생 TA 추가 모집 공고(~8/24),22.08.23,https://sw7up.cbnu.ac.kr/community/notice/630435ddf952f940ce663757
109,"2022년 2학기 학부생튜터 최종 선발 안내(튜터, 튜티) 및 오리엔테이션 안내",22.08.23,https://sw7up.cbnu.ac.kr/community/notice/63044e56f952f940ce663b60
110,2022년 2학기 학부생 TA 최종 선발자 및 오리엔테이션 안내,22.08.26,https://sw7up.cbnu.ac.kr/community/notice/630859a9f952f940ce66be88
111,"(홍보)2022년 SW마이스터고 연합해커톤 멘토 신청 안내 (접수기간 : ~9/8(목), 오후 2시, 이메일접수)",22.08.30,https://sw7up.cbnu.ac.kr/community/notice/630d79a7f952f940ce672a06
112,2022년 제 18회 하반기 TOPCIT 정기평가 단체 접수 안내(접수기한 연장: ~9/21),22.08.30,https://sw7up.cbnu.ac.kr/community/notice/630d9d83f952f940ce673127
113,2022학년도 2학기 SW융합전공 장학생 모집(신청일: 9/26~10/7),22.08.31,https://sw7up.cbnu.ac.kr/community/notice/630eddf0f952f940ce675946
114,2022학년도 2학기 마일리지 장학생 모집 안내 (신청일: 11/14~11/29),22.08.31,https://sw7up.cbnu.ac.kr/community/notice/630ee041f952f940ce675975
